Frame 60: CHEST_TILE_VALUE positions:
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 420: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 480: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 540: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 600: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 660: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 720: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 780: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 840: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 900: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 960: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 1020: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 1080: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 1140: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 1200: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 1260: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 1320: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 1380: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 1440: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 1500: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 1560: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 1620: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
  Chest at (464, 35)
  Chest at (464, 85)
  Chest at (476, 36)
Total chests: 39

Frame 1680: CHEST_TILE_VALUE positions:
  Chest at (15, 160)
  Chest at (32, 43)
  Chest at (45, 35)
  Chest at (45, 185)
  Chest at (47, 192)
  Chest at (74, 10)
  Chest at (74, 60)
  Chest at (80, 107)
  Chest at (88, 98)
  Chest at (105, 260)
  Chest at (114, 118)
  Chest at (123, 142)
  Chest at (135, 135)
  Chest at (135, 260)
  Chest at (140, 253)
  Chest at (140, 255)
  Chest at (194, 85)
  Chest at (194, 160)
  Chest at (196, 86)
  Chest at (199, 153)
  Chest at (224, 235)
  Chest at (250, 3)
  Chest at (252, 16)
  Chest at (253, 10)
  Chest at (268, 123)
  Chest at (285, 185)
  Chest at (292, 106)
  Chest at (339, 56)
  Chest at (343, 60)
  Chest at (364, 188)
  Chest at (373, 185)
  Chest at (388, 98)
  Chest at (435, 60)
  Chest at (448, 60)
  Chest at (455, 30)
  Chest at (463, 160)
